PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=636 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=633 ms
64 bytes from 10.0.0.2: icmp_seq=365 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=638 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=371 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=374 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=375 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=376 ttl=64 time=652 ms
64 bytes from 10.0.0.2: icmp_seq=377 ttl=64 time=644 ms
64 bytes from 10.0.0.2: icmp_seq=378 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=379 ttl=64 time=636 ms
64 bytes from 10.0.0.2: icmp_seq=380 ttl=64 time=667 ms
64 bytes from 10.0.0.2: icmp_seq=381 ttl=64 time=667 ms
64 bytes from 10.0.0.2: icmp_seq=382 ttl=64 time=629 ms
64 bytes from 10.0.0.2: icmp_seq=383 ttl=64 time=659 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=663 ms
64 bytes from 10.0.0.2: icmp_seq=385 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=386 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=387 ttl=64 time=684 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=694 ms
